task,category
Rinsing ice cube trays,Cleaning
Washing refrigerator door seals,Cleaning
Rinse driveway,OutdoorCleaning
Clean outdoor grills,OutdoorCleaning
Prepare marinade,Cooking
Prepare stock,Cooking
Rinsing off garden furniture,Gardening
Washing pet carriers,Cleaning
Cook couscous,Cooking
Cook spaghetti,Cooking
Grate cheese,Cooking
Soaking plant roots,Gardening
Cleaning pond filters,Gardening
Saute mushrooms,Cooking
Deep condition hair,Showering
Wash garden shed doors,OutdoorCleaning
Cleaning stovetop vents,Cleaning
Cleaning and rinsing hair accessories,PersonalHygiene
Rinse off Gardening pots,OutdoorCleaning
Cleaning shower heads,Cleaning
Apply after-sun lotion,Showering
Wash garden arches,OutdoorCleaning
Rinsing Cleaning sponges,Cleaning
Prepare soup,Cooking
Sear scallops,Cooking
Rinse after workout,Showering
Watering newly seeded lawns,Gardening
Cleaning garden hoses,Gardening
Rinse off garden tools,OutdoorCleaning
Cleaning watering cans,Gardening
Cook oatmeal,Cooking
Rinse off sand,Showering
Clean outdoor canopy,OutdoorCleaning
Cleaning outdoor pathways,Cleaning
Cook quinoa,Cooking
Cleaning ears with water,PersonalHygiene
Wash garden furniture,OutdoorCleaning
Rinse off patio heaters,OutdoorCleaning
Washing dish towels,Cleaning
Watering garden beds,Gardening
Chop onions,Cooking
Rinsing off garden decorations,Gardening
Cleaning stovetop burners,Cleaning
Use medicated shampoo,Showering
watering plants,Gardening
Rinse off outdoor decorations,OutdoorCleaning
Rinse off hair dye,Showering
Clean garden tool storage,OutdoorCleaning
Soaking soil in garden beds,Gardening
Rinsing off after a swim,PersonalHygiene
Clean outdoor grill,OutdoorCleaning
Clean outdoor lawnmower,OutdoorCleaning
Rinsing and Cleaning dental appliances,PersonalHygiene
Boil eggs,Cooking
Fry potatoes,Cooking
Watering greenhouse plants,Gardening
Rinsing fruit and vegetable trays,Cleaning
Washing hands after handling raw food,PersonalHygiene
Wash face,Showering
Cleaning shower walls,Cleaning
Washing face,PersonalHygiene
Roast vegetables,Cooking
Exfoliate skin,Showering
Washing shower doors,Cleaning
Filling up rain barrels,Gardening
Wash outdoor garden lanterns,OutdoorCleaning
Make ice cream,Cooking
Boil water for pasta,Cooking
Rinse off patio stones,OutdoorCleaning
Blend smoothie,Cooking
Cleaning garbage disposal,Cleaning
Cleaning windows,Cleaning
Rinsing fruits and vegetables,Cleaning
Steam fish,Cooking
Rinse outdoor walls,OutdoorCleaning
Clean outdoor gates,OutdoorCleaning
Rinse garden path,OutdoorCleaning
Rinsing feet after walking,PersonalHygiene
Marinate tofu,Cooking
Poach eggs,Cooking
Poach egg,Cooking
Rinsing plant pots,Cleaning
Stir sauce,Cooking
Rinse off yogurt mask,Showering
Clean garden stepping stones,OutdoorCleaning
Toast breadcrumbs,Cooking
Wash with antibacterial soap,Showering
Mopping kitchen floor,Cleaning
Apply shampoo,Showering
Washing hands after using the toilet,PersonalHygiene
Washing kitchen drawers,Cleaning
Clean outdoor storage sheds,OutdoorCleaning
Soaking compost,Gardening
Watering succulents,Gardening
Clean outdoor air conditioning units,OutdoorCleaning
Sweep and wash porch,OutdoorCleaning
Use body wash,Showering
Clean outdoor doormats,OutdoorCleaning
Use loofah,Showering
Fry bacon,Cooking
Blanch vegetables,Cooking
Rinsing off soap after handwashing,PersonalHygiene
Aromatherapy shower,Showering
Wash garden pathways,OutdoorCleaning
Roast bell peppers,Cooking
Rinsing laundry detergent trays,Cleaning
Rinse off garden water features,OutdoorCleaning
Rinsing off lotion,PersonalHygiene
Wash garden edging,OutdoorCleaning
Cleaning garden irrigation filters,Gardening
Rinse after exercise,Showering
Apply hair mask,Showering
Cleaning outdoor grill,Cleaning
Steam shower,Showering
Rinse off mud mask,Showering
Clean gutters,OutdoorCleaning
Washing floor mats,Cleaning
Bake bread,Cooking
Washing kitchen cabinets,Cleaning
Clean outdoor flower pots,OutdoorCleaning
Cleaning freezer compartments,Cleaning
Wash deck,OutdoorCleaning
Condition hair,Showering
Fry shrimp,Cooking
Whip cream,Cooking
Cool shower,Showering
Clean outdoor cushions,OutdoorCleaning
Cleaning rain gauges,Gardening
Braise chicken,Cooking
Rinsing brooms,Cleaning
Wash garden birdhouses,OutdoorCleaning
Rinse off outdoor garden signs,OutdoorCleaning
Rinsing off excess soap,PersonalHygiene
Rinsing mulch,Gardening
Rinse off garden irrigation systems,OutdoorCleaning
Broil vegetables,Cooking
Rinsing garden tools,Gardening
Cleaning blinds,Cleaning
Rinsing bath toys,Cleaning
Blanch almonds,Cooking
Mopping the floor,Cleaning
Rinse after swimming,Showering
Washing bath mats,Cleaning
Wash outdoor planters,OutdoorCleaning
Cook millet,Cooking
Clean outdoor fire pit area,OutdoorCleaning
Rinsing conditioner from hair,PersonalHygiene
Peel potatoes,Cooking
Cleaning outdoor faucets,Gardening
Roast potatoes,Cooking
Stir-fry noodles,Cooking
Rinsing off garden statues,Gardening
Bake lasagna,Cooking
Rinsing after brushing teeth,PersonalHygiene
Clean patio floors,OutdoorCleaning
Toast spices,Cooking
Watering bonsai trees,Gardening
Clean garden walkways,OutdoorCleaning
Wash garden irrigation systems,OutdoorCleaning
Cook lentils,Cooking
Cleaning soap dispensers,Cleaning
Bake cake,Cooking
Rinse off garden fountains,OutdoorCleaning
Rinsing outdoor cushions,Cleaning
Rinse soap,Showering
Washing bathroom faucets,Cleaning
Rinsing out herb pots,Cleaning
Season steak,Cooking
Make gravy,Cooking
Fry eggs,Cooking
Fry egg,Cooking
Cleaning refrigerator shelves,Cleaning
Wash outdoor mats,OutdoorCleaning
Cleaning and maintaining irrigation systems,Gardening
Hot shower,Showering
Wash car exterior,OutdoorCleaning
Mix salad,Cooking
Soaking bulbs before planting,Gardening
Whisk eggs,Cooking
Whisk egg,Cooking
Watering indoor plants,Gardening
Rinse off bicycles,OutdoorCleaning
Watering shrubs and bushes,Gardening
Prepare gnocchi,Cooking
Prepare pasta sauce,Cooking
Watering and misting tropical plants,Gardening
Wash outdoor ceiling fans,OutdoorCleaning
Rinsing off makeup,PersonalHygiene
Rinse off oil treatment,Showering
Rinsing outdoor statues,Cleaning
Rinse off garden fence,OutdoorCleaning
Grill burgers,Cooking
Clean outdoor seating areas,OutdoorCleaning
Mopping bathroom floor,Cleaning
Scrubbing countertops,Cleaning
Toast bread,Cooking
Cleaning contact lenses,PersonalHygiene
Washing clothes,Cleaning
Simmer stew,Cooking
Clean bird feeders,OutdoorCleaning
Bake pie crust,Cooking
Rinse off patio furniture covers,OutdoorCleaning
Rinsing off garden pots,Gardening
Bake muffins,Cooking
Rinse off sunscreen,Showering
Wiping down appliances,Cleaning
Make pizza dough,Cooking
Wash outdoor windows,OutdoorCleaning
Wash outdoor garden gates,OutdoorCleaning
Whisk vinaigrette,Cooking
Clean outdoor benches,OutdoorCleaning
Boil potatoes,Cooking
Take a shower,Showering
Fry tofu,Cooking
Rinse off seawater,Showering
Rinse off outdoor sculptures,OutdoorCleaning
Toast nuts,Cooking
Rinse off honey mask,Showering
Marinate meat,Cooking
Cleaning coffee maker,Cleaning
Washing pool toys,Cleaning
Rinsing mouth after eating,PersonalHygiene
Washing shower tiles,Cleaning
Rinsing out plant trays,Gardening
Washing reusable water bottles,Cleaning
Rinsing after using the toilet,PersonalHygiene
Rinsing out shower mats,Cleaning
Clean outdoor kitchen areas,OutdoorCleaning
Knead dough,Cooking
Rinse off outdoor garden beds,OutdoorCleaning
Make salad dressing,Cooking
Wash outdoor plant pots,OutdoorCleaning
Cleaning mirrors,Cleaning
Rinsing off dirt from hands,PersonalHygiene
Cleaning washing machine drum,Cleaning
Caramelize onions,Cooking
Grill steak,Cooking
Watering lawn,Gardening
Watering vegetable garden,Gardening
Cleaning kitchen sink,Cleaning
Wash outdoor picnic tables,OutdoorCleaning
Rinsing glass vases,Cleaning
Cook rice,Cooking
Cleaning refrigerator filters,Cleaning
Clean outdoor pergolas,OutdoorCleaning
Clean outdoor railings,OutdoorCleaning
Toast sesame seeds,Cooking
Watering flowers,Gardening
Wash outdoor tables,OutdoorCleaning
Watering roses,Gardening
Poach chicken,Cooking
Wash outdoor pool deck,OutdoorCleaning
Clean pool area,OutdoorCleaning
Cleaning indoor plants,Cleaning
Use shower cap,Showering
Clean outdoor lights,OutdoorCleaning
Soaking and preparing garden soil,Gardening
Fry chicken,Cooking
Wash driveway,OutdoorCleaning
Washing dish racks,Cleaning
Make pancakes,Cooking
Rinse off garden hose,OutdoorCleaning
Cleaning stovetop,Cleaning
Rinsing out nasal passages,PersonalHygiene
Rinsing baby toys,Cleaning
Cleaning dishwasher racks,Cleaning
Rinse off garden trellises,OutdoorCleaning
Watering seedlings,Gardening
Drip irrigation setup,Gardening
Rinse conditioner,Showering
Grill sausages,Cooking
Cleaning and rinsing shaving equipment,PersonalHygiene
Cleaning toilet bowl,Cleaning
Roast nuts,Cooking
Rinse off garden arches,OutdoorCleaning
Rinse off patio umbrella,OutdoorCleaning
Rinsing off garden trellises,Gardening
Steam rice,Cooking
Cleaning washing machine seals,Cleaning
Rinsing out sink strainers,Cleaning
Rinse off sugar scrub,Showering
Cleaning and rinsing soap dishes,PersonalHygiene
Braise beef,Cooking
Rinsing out car mats,Cleaning
Shave face,Showering
Wash garden tool organizers,OutdoorCleaning
Prepare salsa,Cooking
Rinse off makeup,Showering
Washing carpet with steam cleaner,Cleaning
Rinsing kitchen trash bins,Cleaning
Rinse off sweat,Showering
Clean outdoor garden lights,OutdoorCleaning
Cleaning kitchen backsplash,Cleaning
Washing and rinsing personal towels,PersonalHygiene
Washing light switches,Cleaning
Rinsing Cleaning cloths,Cleaning
Wash garden ornaments,OutdoorCleaning
Washing pet bedding,Cleaning
Wash outdoor birdbaths,OutdoorCleaning
Clean outdoor awnings,OutdoorCleaning
Whip egg whites,Cooking
Boil soup,Cooking
Bake cookies,Cooking
Rinse off garden benches,OutdoorCleaning
Washing off plant leaves,Gardening
Cleaning coffee grinder,Cleaning
Cleaning garden tools,Cleaning
Grill vegetables,Cooking
Washing bathroom rugs,Cleaning
Shave legs,Showering
Clean outdoor stone sculptures,OutdoorCleaning
Cleaning and refilling bird feeders,Gardening
Boil seafood,Cooking
Rinsing out pet dishes,Cleaning
Brushing teeth,PersonalHygiene
Rinsing off sweat,PersonalHygiene
Washing outdoor steps,Cleaning
Rinse off outdoor coolers,OutdoorCleaning
Rinse off chlorine,Showering
Fertilizing with water-soluble nutrients,Gardening
Rinsing out trash cans,Cleaning
Grill fish,Cooking
Washing bed linens,Cleaning
Rinsing mouth,PersonalHygiene
Washing back with a loofah,PersonalHygiene
Rinse off garden bird feeders,OutdoorCleaning
Use natural soap,Showering
Clean shower head,Showering
Cleaning ceiling fans,Cleaning
Washing underarms,PersonalHygiene
Wipe down outdoor play equipment,OutdoorCleaning
Rinse off outdoor lanterns,OutdoorCleaning
Soaking garden soil,Gardening
Rinsing air vents,Cleaning
Wash garden bridges,OutdoorCleaning
Cook beans,Cooking
Wash outdoor garbage bins,OutdoorCleaning
Scrub feet,Showering
Roast chicken,Cooking
Rinse off body scrub,Showering
Washing gym equipment,Cleaning
Fry chicken wings,Cooking
Rinse body,Showering
Steam dumplings,Cooking
Cleaning air conditioner filters,Cleaning
Washing and rinsing body after using the gym,PersonalHygiene
Rinsing out a toothbrush,PersonalHygiene
Wash garden borders,OutdoorCleaning
Rinse off bath salts,Showering
Cleaning light fixtures,Cleaning
Washing hands,PersonalHygiene
Rinse off charcoal mask,Showering
Washing hairbrushes,PersonalHygiene
Washing hands after touching pets,PersonalHygiene
Cleaning dryer lint trap,Cleaning
Rinsing body wash,PersonalHygiene
Washing garden hoses,Cleaning
Watering herb garden,Gardening
Rinsing out mop heads,Cleaning
Cook polenta,Cooking
Rinse off outdoor toys,OutdoorCleaning
Washing off sunscreen,PersonalHygiene
Soaking seeds,Gardening
Rinsing dirty mop heads,Cleaning
Rinsing out vacuum filters,Cleaning
Soaking newly planted trees,Gardening
Rinse off garden bird baths,OutdoorCleaning
Wash outdoor rugs,OutdoorCleaning
Washing dishes,Cleaning
Filling plant saucers,Gardening
Shred lettuce,Cooking
Cleaning grout,Cleaning
Washing pet toys,Cleaning
Detox shower,Showering
Washing towels,Cleaning
Grill kebabs,Cooking
Washing hair,PersonalHygiene
Rinsing off garden hoses after use,Gardening
Rinse off seaweed wrap,Showering
Rinse off garden statues,OutdoorCleaning
Shaving with water,PersonalHygiene
Washing bathroom tiles,Cleaning
Cleaning oven door,Cleaning
Simmer sauce,Cooking
Rinsing bird feeders,Cleaning
Grill chicken,Cooking
Washing face with facial cleanser,PersonalHygiene
Washing outdoor furniture,Cleaning
Washing hands before meals,PersonalHygiene
Saute garlic,Cooking
Blend soup,Cooking
Washing bathroom walls,Cleaning
Rinse off garden paths,OutdoorCleaning
Washing shower curtain,Cleaning
Make custard,Cooking
Rinse hair mask,Showering
Cook barley,Cooking
Poach salmon,Cooking
Rinsing canisters,Cleaning
Steam clams,Cooking
Dice tomatoes,Cooking
Rinsing out floor scrubbers,Cleaning
Rinse off porch steps,OutdoorCleaning
Use shower gel,Showering
Mix batter,Cooking
Wash hair,Showering
Rinsing off plant pots,Gardening
Watering shrubs,Gardening
Rinse off coffee scrub,Showering
Rinse off clay mask,Showering
Clean outdoor faucets,OutdoorCleaning
Washing and rinsing body after Gardening,PersonalHygiene
Washing laundry baskets,Cleaning
Steam vegetables,Cooking
Fry dumplings,Cooking
Mash potatoes,Cooking
Clean patio furniture,OutdoorCleaning
Slice cucumbers,Cooking
Cleaning wounds with water,PersonalHygiene
Rinsing and Cleaning toothbrush holder,PersonalHygiene
Rinse outdoor staircases,OutdoorCleaning
Wash vegetables,Cooking
Rinse off lawn furniture,OutdoorCleaning
Rinse off barbecue area,OutdoorCleaning
Watering hanging baskets,Gardening
Washing feet,PersonalHygiene
Clean outdoor window screens,OutdoorCleaning
Rinse off pool toys,OutdoorCleaning
Make broth,Cooking
Clean garage floor,OutdoorCleaning
Rinsing watering cans,Cleaning
Cleaning birdbaths,Gardening
Cleaning cabinet shelves,Cleaning